time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,peak_price,weak_price,grow_price,valley_price,Basis,Upper,Lower,Knn Classifier Line,Average Knn Classifier Line,Volume,Plot,Oversold/Overbought Cross,Histogram,MACD,Signal,Plot,ebb,ebb_highlight,flow,flow_highlight
2024-07-09,56714.61,58296,56289.45,58050,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,60655.9135,66033.02203121735,55278.80496878266,59271.90093333333,63554.1785180415,27732.20788,26.591185715580266,NaN,-271.5298644243769,-2292.645925965626,-2021.1160615412489,-6984.45029411764,38.86123791057473,NaN,29.427582785565292,NaN
2024-07-10,58050,59470,57157.79,57725.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,60298.70650000001,65453.14876530185,55144.26423469817,58628.81917777777,63441.55754768067,24951.73799,32.34378067520781,NaN,-163.3638211454695,-2225.320837973086,-2061.9570168276164,-6054.425323529416,41.68113428707005,NaN,36.45788674214855,NaN
2024-07-11,57725.85,59650,57050,57339.89,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59958.523,64948.4844367736,54968.5615632264,58244.47306666666,63333.13041006039,29761.05735,27.153173888731544,NaN,-92.8362362899602,-2178.0023121900667,-2085.1660759001065,-5484.945617647056,41.425711386983146,NaN,37.486150301469465,NaN
2024-07-12,57339.89,58526.68,56542.47,57889.1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59639.8775,64292.412030829226,54987.34296917078,57885.86182222222,63216.87767519252,23652.4569,27.311940727837325,NaN,10.295076698155299,-2072.2972300274123,-2082.5923067255676,-5047.162588235296,40.17726861031349,NaN,33.80915727638448,NaN
2024-07-13,57889.09,59850,57756.63,59204.02,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59439.577999999994,63795.54208850099,55083.613911499,57902.00155555555,63115.01234835533,15357.74519,30.6376479150462,NaN,177.29781979689983,-1860.9700319794429,-2038.2678517763427,-4221.7657941176585,44.487387208593624,NaN,41.13451381638361,NaN
2024-07-14,59204.01,61420.69,59194.01,60797.91,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59464.8085,63846.03227214121,55083.58472785879,58032.60917777778,63018.590821388236,21178.33907,31.185516110529903,NaN,392.97849422182276,-1547.0447339990642,-1940.023228220887,-3343.0535882352997,49.15752826458093,NaN,48.42976505411997,NaN
2024-07-15,60797.91,64900,60632.3,64724.14,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59610.715000000004,64463.120134287856,54758.30986571215,58458.67962222222,62943.3087182938,38690.9782,33.523235296599594,NaN,775.8120281537513,-970.2581930286979,-1746.0702211824491,-2303.9450882352976,53.38359770758089,NaN,60.19717209960672,NaN
2024-07-16,64724.06,65388.97,62373.24,65043.99,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59819.66499999999,65201.17496164329,54438.155038356694,59484.10157777779,62910.81877059459,42530.52915,41.339493252458574,NaN,1011.4259907029823,-481.78773280372116,-1493.2137235067034,-1063.2860000000146,57.94074982334197,NaN,61.525864080295214,NaN
2024-07-17,65044,66128.63,63854,64087.99,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,59938.740999999995,65581.04958174909,54296.43241825089,60350.73171111111,62882.645555182695,29567.52954,48.18120925948978,NaN,1058.6872939711243,-169.85460604279797,-1228.5419000139223,497.45097058821557,61.39741061455355,NaN,63.51020553041203,NaN
2024-07-18,64087.99,65133.3,63238.48,63987.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,60116.744999999995,66027.77122089143,54205.71877910857,61108.29088888889,62864.41820407904,22568.7225,51.320143212267936,NaN,1037.6257742844168,68.49031784159888,-969.1354564428179,1633.9139117646846,59.218715794783996,NaN,59.093420116329796,NaN
